"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @OCallaghanCian: The vote tonight at Dublin City Council’s will help shape the future of housing delivery in our city.     Will it be do…",FALSE,0,NA,2019-10-07 16:22:52,FALSE,NA,"1181243505324281856",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ChrisPenderKE",1,TRUE,FALSE,NA,NA
"2","@BorderSolution_ @Pogopatterson42 @irishgooner49 @Lewip811 @UlsterMan1690BC @Batteredwhitema @BBCPolitics @BBCNews… https://t.co/h1zJjv8x7i",FALSE,0,"BorderSolution_",2019-10-07 16:19:42,TRUE,"1181241595141722121","1181242705621475328","1123660675228868609","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MichaelHegart13",0,FALSE,FALSE,NA,NA
"3","The vote tonight at Dublin City Council’s will help shape the future of housing delivery in our city.     Will it b… https://t.co/zZ9rgVV9By",FALSE,3,NA,2019-10-07 16:12:30,TRUE,NA,"1181240894416142343",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","OCallaghanCian",1,FALSE,FALSE,NA,NA
"4","Realising my destiny is to commute to Dublin from somewhere shite like Enfield because I won’t be able to afford ho… https://t.co/0DPFQ6SIUN",FALSE,1,NA,2019-10-07 15:44:59,TRUE,NA,"1181233968890437632",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KarisPilkBoyne",0,FALSE,FALSE,NA,NA
"5","@BorderSolution_ @JaffBailie @MichaelHegart13 @irishgooner49 @Lewip811 @UlsterMan1690BC @Batteredwhitema… https://t.co/qB4oy3qF4A",FALSE,0,"BorderSolution_",2019-10-07 15:19:35,TRUE,"1181226084676853761","1181227578994102273","1123660675228868609","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Breitheamh2",0,FALSE,FALSE,NA,NA
"6","We welcome the call for an end to the use of hotels for emergency accommodation - Rebuilding Ireland promised this… https://t.co/3c6AvqgDzN",FALSE,2,"MLRCLaw",2019-10-07 14:44:57,TRUE,"1181217676657643521","1181218863096184834","487498579","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MLRCLaw",0,FALSE,FALSE,NA,NA
"7","RT @Andrew_Adonis: The main political issue in Ireland - besides Brexit - is affordable housing, particularly in Dublin. It ought to be the…",FALSE,0,NA,2019-10-07 13:10:18,FALSE,NA,"1181195044813987841",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoJacques5",20,TRUE,FALSE,NA,NA
"8","Another great talk in the historic @RichBarracks by @ScuffilC on the Dublin Housing crisis 1915-1922 @HistFest… https://t.co/dNoZYyYquN",FALSE,1,NA,2019-10-07 12:56:17,TRUE,NA,"1181191515848224774",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","paddymorton",0,FALSE,FALSE,NA,NA
"9","@agirlcalledlina Dublin is getting worse too.

And that's not even talking about families living in hotel rooms or… https://t.co/VNZSdBjwAG",FALSE,2,"agirlcalledlina",2019-10-07 12:50:00,TRUE,"1181185942578716673","1181189933358370817","116159439","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Craigadd",0,FALSE,FALSE,NA,NA
"10","RT @RichBarracks: Historian in Residence @ScuffilC talking now @RichBarracks on Dublin’s Housing Crisis 1915-1923 as part of @HistFest @Dub…",FALSE,0,NA,2019-10-07 11:33:02,FALSE,NA,"1181170567178854400",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","K_I_Network",5,TRUE,FALSE,NA,NA
"11","RT @IrexitFreedom: 500m EU citizens   plus dependents have a right to turn up in Ireland to live, work and access benefits.   We have a hou…",FALSE,0,NA,2019-10-07 11:23:19,FALSE,NA,"1181168121048174594",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","irishrailwayman",130,TRUE,FALSE,NA,NA
"12","We love receiving your feedback <U+0001F49A>
Our aim is to ensure you find the best accommodation in Dublin and our services d… https://t.co/sIvhn6B2DD",FALSE,0,NA,2019-10-07 11:13:23,TRUE,NA,"1181165621893111808",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DublinNest",0,FALSE,FALSE,NA,NA
"13","@HazelPBP Hi Hazel, I'm a student journalist working on a story on housing in Dublin - would it be possible to mess… https://t.co/S6gLYQ6O8J",FALSE,0,"HazelPBP",2019-10-07 11:09:40,TRUE,NA,"1181164683488825344","717642413939023873","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","kathleenioh",0,FALSE,FALSE,NA,NA
"14","RT @RichBarracks: Historian in Residence @ScuffilC talking now @RichBarracks on Dublin’s Housing Crisis 1915-1923 as part of @HistFest @Dub…",FALSE,0,NA,2019-10-07 11:00:18,FALSE,NA,"1181162326290030595",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DubHistorians",5,TRUE,FALSE,NA,NA
"15","@kieranburke83 Kieran, if the policy is to house asylum seekers in rural areas which is not a bad policy per se, th… https://t.co/dh4AggmcHy",FALSE,0,"kieranburke83",2019-10-07 10:55:19,TRUE,"1178992516596670467","1181161071555547136","3186715319","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BmaMac",0,FALSE,FALSE,NA,NA
"16","RT @Andrew_Adonis: The main political issue in Ireland - besides Brexit - is affordable housing, particularly in Dublin. It ought to be the…",FALSE,0,NA,2019-10-07 10:49:14,FALSE,NA,"1181159542773686272",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Wes_Sexwater",20,TRUE,FALSE,NA,NA
"17","RT @Andrew_Adonis: The main political issue in Ireland - besides Brexit - is affordable housing, particularly in Dublin. It ought to be the…",FALSE,0,NA,2019-10-07 10:42:33,FALSE,NA,"1181157859213615104",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Janpat97421342",20,TRUE,FALSE,NA,NA
